Frecuencia [Hz],Vin [Vpp],Vo [Vpp],Vo/Vin,Módulo [dB],Delay [µs],Fase [rad],fm [Hz],Retardo de grupo [µs],Fase [°]
200,"20,7","20,7",1,0,110,"-0,1382300768","282,8427125",106,"-7,92"
400,"20,7","20,7",1,0,108,"-0,2714336053","489,8979486",96,"-15,552"
600,"20,7",20,"0,9661835749","-0,2988069959",104,"-0,3920707632","692,820323",64,"-22,464"
800,"20,7",20,"0,9661835749","-0,2988069959",94,"-0,4724955351","894,427191",84,"-27,072"
1000,"20,7","19,6","0,9468599034","-0,474285482",92,"-0,5780530483","1095,445115",80,"-33,12"
1200,"20,7","19,2","0,9275362319","-0,6533823351",90,"-0,6785840132","1296,14814",62,"-38,88"
1400,"20,7","19,2","0,9275362319","-0,6533823351",86,"-0,756495511","1496,662955",78,"-43,344"
1600,"20,7","18,3","0,884057971","-1,070385115",85,"-0,8545132018","1697,056275",49,"-48,96"
1800,"20,7",18,"0,8695652174","-1,213956807",81,"-0,9160884178","1897,366596",81,"-52,488"
2000,"20,7",18,"0,8695652174","-1,213956807",81,"-1,01787602","2236,067977",96,"-58,32"
2500,"20,7","17,2","0,8309178744","-1,608837971",84,"-1,319468915","2738,612788",78,"-75,6"
3000,"20,7","15,1","0,729468599","-2,739867963",83,"-1,564513141","3240,370349",76,"-89,64"
3500,"20,7",14,"0,6763285024","-3,396846196",82,"-1,803274183","3741,657387",74,"-103,32"
4000,"20,7","12,3","0,5942028986","-4,52130468",81,"-2,03575204","4472,135955",61,"-116,64"
5000,"20,7","9,6","0,4637681159","-6,673982248",77,"-2,419026343","5477,225575",77,"-138,6"
6000,"20,7",8,"0,38647343","-8,257607169",77,"-2,902831612","6480,740698",49,"-166,32"
7000,"20,7",5,"0,2415458937","-12,34000682",73,"-3,210707692","7483,314774",1,"-183,96"
8000,"20,7","3,79","0,1830917874","-14,74662271",64,"-3,216990877","8944,27191",34,"-184,32"
10000,"20,7",2,"0,09661835749","-20,298807",58,"-3,644247478","17320,50808","5,5","-208,8"
30000,"20,7","0,09","0,004347826087","-47,23455672",23,"-4,335397862","54772,25575","0,8571428571","-248,4"
100000,"20,7","0,003","0,0001449275362","-76,77698181","7,5","-4,71238898",,,-270
,,,#DIV/0!,#DIV/0!,,0,,,0
,,,#DIV/0!,#DIV/0!,,0,,,0
,,,#DIV/0!,#DIV/0!,,0,,,0
,,,#DIV/0!,#DIV/0!,,0,,,0
,,,#DIV/0!,#DIV/0!,,0,,,0
,,,#DIV/0!,#DIV/0!,,0,,,0
,,,#DIV/0!,#DIV/0!,,0,,,0
,,,#DIV/0!,#DIV/0!,,0,,,0
,,,#DIV/0!,#DIV/0!,,0,,,0
,,,#DIV/0!,#DIV/0!,,0,,,0
,,,#DIV/0!,#DIV/0!,,0,,,0
