Offset,"1,65",,,
Tension Pico,"3,3",,,
,,,,
Filtro Aliasing y Interpolacion,,,,
Freq,Vin Vpp,Vout Vpp,Vout/Vin,db
10,"3,3","3,27","0,9909090909","0,07932374435"
50,"3,3","3,07","0,9303030303","0,627511288"
100,"3,3","2,72","0,8242424242","1,678900717"
150,"3,3","2,31","0,7","3,0980392"
200,"3,3","1,9","0,5757575758","4,795206779"
255,"3,3","1,63","0,4939393939","6,126526709"
300,"3,3","1,39","0,4212121212","7,509982792"
,,,,
,,,,
,,,,
IIR NOTCH (Juama),,,,
Freq,Vin Vpp,Vout Vpp,Vout/Vin,db
10,"3,3","3,3",1,0
25,"3,3","3,27","0,9909090909","-0,07932374435"
35,"3,3","3,24","0,9818181818","-0,1593785934"
45,"3,3","3,2","0,9696969697","-0,2672792312"
48,"3,3","3,07","0,9303030303","-0,627511288"
50,"3,3","0,1","0,0303030303","-30,3702788"
51,"3,3","2,7","0,8181818182","-1,743003514"
55,"3,3",3,"0,9090909091","-0,8278537032"
65,"3,3",3,"0,9090909091","-0,8278537032"
75,"3,3","2,9","0,8787878788","-1,12231884"
,,,,
,,,,
IIR CHEBY (Juanma),,,,
Freq,Vin Vpp,Vout Vpp,Vout/Vin,db
5,"3,3",3,"0,9090909091","-0,8278537032"
10,"3,3",3,"0,9090909091","-0,8278537032"
15,"3,3","3,03","0,9181818182","-0,7414262275"
20,"3,3","3,07","0,9303030303","-0,627511288"
25,"3,3","3,11","0,9424242424","-0,515071017"
30,"3,3","3,16","0,9575757576","-0,3765371452"
35,"3,3","3,2","0,9696969697","-0,2672792312"
40,"3,3","3,16","0,9575757576","-0,3765371452"
45,"3,3","3,07","0,9303030303","-0,627511288"
50,"3,3",3,"0,9090909091","-0,8278537032"
75,"3,3","2,59","0,7848484848","-2,104283516"
50,"3,3",3,"0,9090909091","-0,8278537032"
100,"3,3","2,48","0,7515151515","-2,481245181"
150,"3,3","0,2","0,06060606061","-24,34967888"
200,"3,3","0,016","0,004848484848","-46,28787914"
250,"3,3","0,004","0,001212121212","-58,32907897"
300,"3,3","0,004","0,001212121212","-58,32907897"
